target_input_tokens,run_number,latency_ms,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,status,error
1000,1,1987.140,661,40,701,0.00390500,ok,
1000,2,893.856,661,40,701,0.00390500,ok,
1000,3,675.116,661,40,701,0.00390500,ok,
1000,4,961.984,661,40,701,0.00390500,ok,
1000,5,716.733,661,40,701,0.00390500,ok,
4000,1,950.094,2521,40,2561,0.01320500,ok,
4000,2,970.582,2521,40,2561,0.01320500,ok,
4000,3,845.819,2521,40,2561,0.01320500,ok,
4000,4,729.275,2521,40,2561,0.01320500,ok,
4000,5,708.235,2521,40,2561,0.01320500,ok,
16000,1,970.771,9964,41,10005,0.05043500,ok,
16000,2,918.047,9964,42,10006,0.05045000,ok,
16000,3,741.284,9964,42,10006,0.05045000,ok,
16000,4,762.420,9964,42,10006,0.05045000,ok,
16000,5,814.801,9964,44,10008,0.05048000,ok,
